,date_id,weather_main,weather_description,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,visibility,wind_speed,wind_deg,clouds_all,dt,sys_sunrise,sys_sunset,id,name
11,111218,Clear,clear sky,272.75,1029.0,100,269.85,275.95,11265.0,1.13,233.00400000000002,1,1541997300,1542022947,1542059202,4560349,Philadelphia
12,112418,Clear,clear sky,268.57,1028.0,85,267.35,270.15,16093.0,1.07,58.0046,1,1543034100,1543060560,1543095511,4560349,Philadelphia
13,111018,Rain,light rain,281.9,1010.0,92,279.15,284.15,16093.0,4.6,270.0,90,1541824860,1541850009,1541886510,4560349,Philadelphia
0,111418,Clouds,broken clouds,298.15,1014.0,78,298.15,298.15,10000.0,1.0,270.0,75,1542236400,1542146305,1542187427,1689973,San Francisco
1,111518,Clouds,broken clouds,298.15,1014.0,78,298.15,298.15,10000.0,1.0,270.0,75,1542322800,1542319134,1542360219,1689973,San Francisco
2,111618,Clouds,broken clouds,304.15,1014.0,58,304.15,304.15,10000.0,3.1,40.0,75,1542427200,1542405568,1542446612,1689973,San Francisco
3,111718,Clouds,broken clouds,298.15,1015.0,73,298.15,298.15,10000.0,1.0,280.0,75,1542553200,1542492012,1542533005,1689973,San Francisco
4,111818,Clouds,few clouds,302.697,1017.29,82,302.697,302.697,,2.01,122.0,12,1542599368,1542578427,1542619403,1689973,San Francisco
5,111918,Clouds,broken clouds,302.15,1014.0,58,302.15,302.15,10000.0,3.1,360.0,75,1542682800,1542664858,1542705800,1689973,San Francisco
6,112018,Rain,light rain,299.15,1013.0,78,299.15,299.15,7000.0,3.1,360.0,90,1542769200,1542751290,1542792199,1689973,San Francisco
7,112218,Clouds,broken clouds,299.15,1014.0,78,299.15,299.15,10000.0,1.0,350.0,75,1542898800,1542837736,1542878599,1689973,San Francisco
8,112318,Clouds,scattered clouds,298.15,1015.0,78,298.15,298.15,10000.0,2.6,320.0,40,1542988800,1542924170,1542965001,1689973,San Francisco
9,112518,Clouds,scattered clouds,298.15,1015.0,78,298.15,298.15,10000.0,1.0,360.0,40,1543158000,1543097033,1543137808,1689973,San Francisco
10,112718,Clouds,broken clouds,304.15,1015.0,52,304.15,304.15,10000.0,4.1,40.0,75,1543291200,1543269885,1543310617,1689973,San Francisco
11,112818,Clouds,broken clouds,303.15,1018.0,58,303.15,303.15,10000.0,2.1,350.0,75,1543460400,1543442750,1543483432,1689973,San Francisco
12,113018,Clouds,scattered clouds,304.15,1014.0,45,304.15,304.15,10000.0,2.1,40.0,40,1543636800,1543615620,1543656252,1689973,San Francisco
13,120118,Clouds,scattered clouds,297.15,1012.0,78,297.15,297.15,10000.0,1.0,320.0,40,1543694400,1543615642,1543656259,1689973,San Francisco
